72-hour Testset,,,,,
model,auc,f1,npv,precision,recall
RandomForestClassifier,0.809,0.506,0.939,0.351,0.902
XGBClassifier,0.808,0.499,0.936,0.345,0.901
VotingClassifier,0.8,0.49,0.934,0.336,0.903
MLPClassifier,0.788,0.488,0.934,0.334,0.903
LogisticRegression,0.787,0.485,0.932,0.332,0.902
SVC,0.787,0.487,0.932,0.333,0.901
KNeighborsClassifier,0.735,0.436,0.909,0.287,0.91
48-hour Testset,,,,,
RandomForestClassifier,0.801,0.491,0.933,0.337,0.901
XGBClassifier,0.796,0.494,0.934,0.34,0.901
VotingClassifier,0.798,0.491,0.936,0.337,0.906
MLPClassifier,0.718,0.445,0.913,0.295,0.905
LogisticRegression,0.783,0.483,0.93,0.33,0.901
SVC,0.784,0.482,0.93,0.329,0.901
KNeighborsClassifier,0.736,0.435,0.92,0.284,0.929
24-hour Testset,,,,,
RandomForestClassifier,0.783,0.481,0.931,0.328,0.902
XGBClassifier,0.784,0.476,0.928,0.323,0.901
VotingClassifier,0.783,0.49,0.933,0.336,0.901
MLPClassifier,0.778,0.473,0.927,0.32,0.902
LogisticRegression,0.771,0.472,0.927,0.32,0.902
SVC,0.772,0.471,0.928,0.319,0.905
KNeighborsClassifier,0.716,0.428,0.916,0.278,0.932
